-1.17 G, 0.24 G, -0.20 G
-1.14 G, 0.14 G, -0.08 G
-1.13 G, 0.12 G, -0.11 G
-1.11 G, 0.12 G, -0.13 G
-1.10 G, 0.12 G, -0.14 G
-1.07 G, 0.12 G, -0.16 G
-1.04 G, 0.11 G, -0.19 G
-0.99 G, 0.12 G, -0.23 G
-0.95 G, 0.13 G, -0.26 G
-0.92 G, 0.15 G, -0.28 G
-0.92 G, 0.17 G, -0.30 G
-0.92 G, 0.20 G, -0.31 G
-0.95 G, 0.22 G, -0.31 G
-0.98 G, 0.24 G, -0.32 G
-1.03 G, 0.27 G, -0.32 G
-1.06 G, 0.28 G, -0.32 G
-1.09 G, 0.29 G, -0.31 G
-1.10 G, 0.27 G, -0.30 G
-1.09 G, 0.24 G, -0.30 G
-1.06 G, 0.21 G, -0.31 G
-1.05 G, 0.19 G, -0.31 G
-0.92 G, 0.23 G, -0.16 G
-0.90 G, 0.24 G, -0.16 G
-0.86 G, 0.24 G, -0.17 G
-0.83 G, 0.25 G, -0.18 G
-0.81 G, 0.25 G, -0.19 G
-0.77 G, 0.25 G, -0.22 G
-0.76 G, 0.27 G, -0.18 G
-0.70 G, 0.26 G, -0.21 G
-1.22 G, 0.22 G, 0.84 G
-0.64 G, 0.03 G, 0.14 G
-0.80 G, -0.29 G, 0.40 G
-0.95 G, -0.21 G, -0.06 G
-0.85 G, 0.11 G, 0.02 G
-0.88 G, 0.22 G, -0.12 G
-1.00 G, 0.21 G, -0.38 G
-1.61 G, -0.11 G, -0.35 G
-0.94 G, -0.19 G, -0.07 G
-1.21 G, -0.23 G, -0.52 G
-1.17 G, -0.17 G, -0.30 G
-1.02 G, -0.08 G, -0.25 G
-0.92 G, 0.03 G, -0.08 G
-0.73 G, 0.17 G, -0.10 G
-0.52 G, 0.01 G, 0.18 G
-0.77 G, 0.13 G, 0.18 G
-0.76 G, 0.36 G, 0.02 G
-0.75 G, 0.29 G, 0.16 G
-0.75 G, 0.19 G, 0.15 G
-0.80 G, 0.18 G, -0.02 G
-0.59 G, 0.31 G, 0.12 G
-0.76 G, 0.07 G, -0.11 G
-0.94 G, -0.11 G, -0.16 G
-0.94 G, -0.11 G, -0.15 G
-0.87 G, -0.08 G, -0.15 G
-1.01 G, -0.23 G, -0.11 G
-0.86 G, 0.16 G, -0.05 G
-0.87 G, 0.19 G, -0.07 G
-0.90 G, 0.23 G, -0.11 G
-0.87 G, 0.17 G, -0.14 G
-0.92 G, 0.12 G, -0.07 G
-0.97 G, 0.04 G, -0.05 G
-1.01 G, -0.05 G, -0.04 G
-1.01 G, -0.11 G, -0.06 G
-1.00 G, -0.10 G, -0.08 G
-0.96 G, -0.11 G, -0.07 G
-1.04 G, -0.16 G, -0.03 G
-0.94 G, -0.10 G, -0.02 G
-0.89 G, -0.02 G, -0.02 G
-0.89 G, 0.00 G, -0.03 G
-0.93 G, 0.00 G, -0.04 G
-0.95 G, 0.05 G, -0.06 G
-0.92 G, 0.08 G, -0.04 G
-0.93 G, 0.07 G, -0.03 G
-0.92 G, 0.08 G, -0.03 G
-0.90 G, 0.08 G, -0.03 G
-0.92 G, 0.05 G, -0.04 G
-0.95 G, -0.01 G, -0.06 G
-0.95 G, -0.05 G, -0.07 G
-0.94 G, -0.05 G, -0.07 G
-0.93 G, -0.06 G, -0.05 G
-0.92 G, -0.04 G, -0.06 G
-0.91 G, 0.01 G, -0.07 G
-0.90 G, 0.08 G, -0.07 G
-0.89 G, 0.10 G, -0.06 G
